,author_id,tweet_id,text,created_at
150,44196397,1517213176835805184,@WholeMarsBlog @Herbert_Diess Diess deserves a lot of credit for moving VW rapidly towards electrification. They’re lucky to have him.,2022-04-21 18:46:24+00:00
151,44196397,1517212509882695680,"@SamTwits My true moral error was creating Tesla &amp; SpaceX at same time, while avoiding general mgmt chores at Tesla (focusing only on product &amp; engineering). Tried to have my cake &amp; eat it too, which failed.",2022-04-21 18:43:45+00:00
152,44196397,1517210882073321472,"@SamTwits Agreed. I wish JB &amp; I had just moved forward to commercialize the Tzero without adding other partners. In the end, that’s what happened anyway.",2022-04-21 18:37:17+00:00
153,44196397,1517208246762852354,@fermatslibrary Resistance is futile,2022-04-21 18:26:49+00:00
154,44196397,1517206816391938050,@WholeMarsBlog The esthetics of the new rendering will improve,2022-04-21 18:21:08+00:00
155,44196397,1517206343446315008,"@TPostMillennial SNL is so rarely funny these day (sigh)
https://t.co/zYnkLgdDY8",2022-04-21 18:19:15+00:00
156,44196397,1517205565793050625,@Erdayastronaut Making rocket reuse normal is the goal,2022-04-21 18:16:09+00:00
157,44196397,1517205283797413888,"RT @SpaceX: Falcon 9’s first stage has landed on the Just Read the Instructions droneship, completing this booster’s 12th launch and landin…",2022-04-21 18:15:02+00:00
158,44196397,1517201246607888384,RT @SpaceX: Watch Falcon 9 launch 53 Starlink satellites to orbit → https://t.co/P14Aqhp22B https://t.co/s0ZaU8ZLUo,2022-04-21 17:59:00+00:00
159,44196397,1517177549553553414,@BillyM2k Always look on the bright side of life,2022-04-21 16:24:50+00:00
160,44196397,1517074058482958336,@teslaownersSV @DimaZeniuk @billhuang688 @woonomic @VaibhavSisinty Maybe JB would be up for that too. He deserves a lot of credit (as do many longtime Tesla people).,2022-04-21 09:33:36+00:00
161,44196397,1517073820284301313,@teslaownersSV @DimaZeniuk @billhuang688 @woonomic @VaibhavSisinty Ok sure,2022-04-21 09:32:39+00:00
162,44196397,1517073148075810816,@Tesla__Mania @woonomic @VaibhavSisinty Yes,2022-04-21 09:29:59+00:00
163,44196397,1517072753475600385,"@garyblack00 The failures are mine, the successes belong to others",2022-04-21 09:28:24+00:00
164,44196397,1517063049949192192,"@DimaZeniuk @billhuang688 @woonomic @VaibhavSisinty I should, but that would take a lot of time away from Tesla, SpaceX &amp; other work. Walter Isaacson is writing a book.",2022-04-21 08:49:51+00:00
165,44196397,1517061120212807680,@PPathole @teslaownersSV @woonomic @VaibhavSisinty Exactly,2022-04-21 08:42:11+00:00
166,44196397,1517060599578042369,"@billhuang688 @woonomic @VaibhavSisinty I put in all I had, whereas Eberhard, who was worth over $10M at the time, refused to invest a penny to help Tesla. 

If it was really his baby, he would never have stood by while it starved to death.

https://t.co/ZDfYLD5qkL",2022-04-21 08:40:07+00:00
167,44196397,1517058850406506497,"@teslaownersSV @woonomic @VaibhavSisinty But if he was actually capable of creating a company like Tesla, he would have done so after he was fired for lying outrageously about cost &amp; progress of Roadster in mid 2007.

We would’ve lost at least a few talented people if he was the real deal, but we lost no one.",2022-04-21 08:33:10+00:00
168,44196397,1517057537731932161,@teslaownersSV @woonomic @VaibhavSisinty Eberhard has been relentlessly pushing a false narrative about Tesla for 15 years. He’s a compelling liar. Fooled me for almost 3 years.,2022-04-21 08:27:57+00:00
